station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2019-05-28 00:00:00,5,420.5,7110.0,-19.0,-41.9,287.0,43,84.0,12.0
KILN,2019-05-28 00:00:00,5,415.8,7194.0,-19.6,-33.8,286.0,43,84.0,12.0
KILN,2019-05-28 00:00:00,5,412.2,7259.0,-20.2,-33.8,284.0,43,85.0,12.0
KILN,2019-05-28 00:00:00,6,404.1,7406.0,M,M,277.0,43,85.0,13.0
KILN,2019-05-28 00:00:00,4,400.0,7482.0,-21.4,-32.6,273.0,46,85.0,13.0
KILN,2019-05-28 00:00:00,5,395.1,7573.0,-21.8,-32.9,269.0,50,85.0,13.0
KILN,2019-05-28 00:00:00,6,387.8,7710.0,M,M,265.0,53,85.0,13.0
KILN,2019-05-28 00:00:00,5,385.4,7755.0,-22.4,-39.2,266.0,51,85.0,14.0
KILN,2019-05-28 00:00:00,5,381.3,7833.0,-22.5,-38.1,267.0,50,85.0,14.0
KILN,2019-05-28 00:00:00,6,373.8,7979.0,M,M,266.0,49,85.0,14.0
KILN,2019-05-28 00:00:00,5,372.9,7996.0,-23.9,-43.4,266.0,49,85.0,14.0
KILN,2019-05-28 00:00:00,5,360.6,8240.0,-26.2,-41.7,269.0,50,85.0,15.0
KILN,2019-05-28 00:00:00,6,359.6,8260.0,M,M,269.0,49,85.0,15.0
KILN,2019-05-28 00:00:00,5,358.8,8276.0,-26.5,-39.9,269.0,49,85.0,15.0
KILN,2019-05-28 00:00:00,5,354.3,8367.0,-26.7,-31.7,269.0,46,85.0,15.0
KILN,2019-05-28 00:00:00,5,342.9,8603.0,-29.0,-31.9,273.0,39,86.0,16.0
KILN,2019-05-28 00:00:00,6,341.6,8630.0,M,M,273.0,39,86.0,16.0
KILN,2019-05-28 00:00:00,5,336.0,8747.0,-29.9,-34.1,271.0,39,86.0,16.0
KILN,2019-05-28 00:00:00,6,327.4,8932.0,M,M,277.0,40,86.0,16.0
KILN,2019-05-28 00:00:00,5,325.7,8968.0,-31.5,-34.9,278.0,39,86.0,17.0
KILN,2019-05-28 00:00:00,6,315.7,9188.0,M,M,284.0,37,86.0,17.0
KILN,2019-05-28 00:00:00,5,313.1,9245.0,-33.4,-39.1,285.0,37,86.0,17.0
KILN,2019-05-28 00:00:00,6,304.0,9452.0,M,M,286.0,38,87.0,18.0
KILN,2019-05-28 00:00:00,4,300.0,9546.0,-35.7,-40.6,286.0,38,87.0,18.0
KILN,2019-05-28 00:00:00,6,292.5,9721.0,M,M,284.0,37,87.0,18.0
KILN,2019-05-28 00:00:00,5,291.0,9756.0,-37.0,-42.4,283.0,37,87.0,18.0
KILN,2019-05-28 00:00:00,6,280.3,10013.0,M,M,280.0,36,88.0,19.0
KILN,2019-05-28 00:00:00,5,272.8,10199.0,-41.1,-45.0,279.0,38,88.0,19.0
KILN,2019-05-28 00:00:00,6,268.8,10297.0,M,M,278.0,37,88.0,19.0
KILN,2019-05-28 00:00:00,5,267.7,10326.0,-42.1,-46.8,277.0,37,88.0,19.0
KILN,2019-05-28 00:00:00,5,261.6,10482.0,-43.3,-47.0,275.0,38,88.0,20.0
KILN,2019-05-28 00:00:00,6,258.4,10565.0,M,M,276.0,39,88.0,20.0
